time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741393008.1116326,1.0,3.0,3.0,1.0,3.0,3.0,360.0,100.0,25.0,3.0,0.0,0.0,20.9930859375,33.64070110877387,1008.7167476455928,37.81097266506804,244410.0
1741393009.1247513,1.0,3.0,3.0,1.0,3.0,3.0,360.0,100.0,25.0,3.0,0.0,0.0,20.9848828125,33.64573097203418,1008.7202363268896,37.78182140107912,243039.0
1741393010.137856,1.0,3.0,3.0,1.0,3.0,3.0,360.0,102.0,27.0,3.0,0.0,0.0,20.9784375,33.656690571879146,1008.7155365399278,37.821092628618324,244066.0
1741393011.1490803,1.0,3.0,3.0,1.0,3.0,3.0,360.0,102.0,27.0,3.0,0.0,0.0,20.9692578125,33.667403777374744,1008.7211368031925,37.77429707485241,245102.0
1741393012.160236,1.0,3.0,3.0,1.0,3.0,3.0,360.0,102.0,27.0,3.0,0.0,0.0,20.9567578125,33.67781751441311,1008.71783595829,37.80187876436243,244066.0
1741393013.1714466,2.0,3.0,3.0,2.0,3.0,3.0,378.0,104.0,31.0,3.0,0.0,0.0,20.9415234375,33.69375662980806,1008.7138693921588,37.83502328275455,245797.0
1741393017.5738828,2.0,3.0,3.0,2.0,3.0,3.0,378.0,104.0,31.0,3.0,0.0,0.0,20.9301953125,33.704277401486024,1008.7215556577596,37.77079715294764,246146.0
1741393018.586824,2.0,3.0,3.0,2.0,3.0,3.0,378.0,104.0,31.0,3.0,0.0,0.0,20.7950390625,33.923081553945046,1008.7327447632796,37.67730214030577,214994.0
1741393019.5999763,1.0,3.0,3.0,1.0,3.0,3.0,366.0,98.0,32.0,3.0,0.0,0.0,20.739765625,34.010561622689984,1008.73126356796,37.68967880753163,222161.0
1741393020.6130958,1.0,3.0,3.0,1.0,3.0,3.0,366.0,98.0,32.0,3.0,0.0,0.0,20.7083203125,34.059754008734544,1008.7381996376877,37.631722076379326,229518.0
1741393021.6267674,1.0,3.0,3.0,1.0,3.0,3.0,366.0,98.0,32.0,3.0,0.0,0.0,20.6872265625,34.086758463444696,1008.7450506695445,37.57447622534824,233382.0
1741393022.6408577,1.0,2.0,2.0,1.0,2.0,2.0,342.0,88.0,26.0,2.0,0.0,0.0,20.6684765625,34.113979841524404,1008.7446437037889,37.57787674095531,237216.0
1741393023.6541893,1.0,2.0,2.0,1.0,2.0,2.0,342.0,88.0,26.0,2.0,0.0,0.0,20.653046875,34.12993363285756,1008.7421766151732,37.598491210131705,239181.0
1741393024.6669035,1.0,2.0,2.0,1.0,2.0,2.0,342.0,88.0,26.0,2.0,0.0,0.0,20.63,34.1509816260205,1008.7477612359456,37.55182736190815,242190.0
1741393025.6796796,1.0,3.0,3.0,1.0,3.0,3.0,366.0,96.0,34.0,3.0,0.0,0.0,20.6094921875,34.154900089573914,1008.7409180969679,37.60900713702925,243209.0
1741393026.6927366,1.0,3.0,3.0,1.0,3.0,3.0,366.0,96.0,34.0,3.0,0.0,0.0,20.601484375,34.18889751195702,1008.7446990916959,37.57741393182401,243551.0
1741393027.7100325,1.0,3.0,3.0,1.0,3.0,3.0,366.0,96.0,34.0,3.0,0.0,0.0,20.5985546875,34.2117861496918,1008.7437212734685,37.58558436827744,244755.0
1741393028.7227209,1.0,2.0,2.0,1.0,2.0,2.0,324.0,86.0,29.0,2.0,0.0,0.0,20.5809765625,34.22176130918795,1008.7451593282207,37.573568297730766,245797.0
1741393029.7351656,1.0,2.0,2.0,1.0,2.0,2.0,324.0,86.0,29.0,2.0,0.0,0.0,20.5657421875,34.24353093057779,1008.7484743310832,37.545868912710674,246321.0
1741393030.74755,1.0,2.0,2.0,1.0,2.0,2.0,324.0,86.0,29.0,2.0,0.0,0.0,20.5565625,34.265855800262585,1008.7430957108322,37.59081143698604,245797.0
1741393031.7586875,1.0,2.0,2.0,1.0,2.0,2.0,306.0,80.0,29.0,3.0,0.0,0.0,20.5446484375,34.28793364261218,1008.7480049447992,37.54979098972959,246496.0
1741393032.7697892,1.0,2.0,2.0,1.0,2.0,2.0,306.0,80.0,29.0,3.0,0.0,0.0,20.5284375,34.31541405772269,1008.7442947686568,37.58079236643143,247023.0
1741393033.7809224,1.0,2.0,2.0,1.0,2.0,2.0,306.0,80.0,29.0,3.0,0.0,0.0,20.5176953125,34.34919249763988,1008.7419236867761,37.60060462847382,247553.0
1741393034.7920227,1.0,2.0,2.0,1.0,2.0,2.0,312.0,80.0,27.0,2.0,0.0,0.0,20.5091015625,34.35420049868761,1008.7447746053732,37.576782956224356,247023.0
1741393035.80313,1.0,2.0,2.0,1.0,2.0,2.0,312.0,80.0,27.0,2.0,0.0,0.0,20.5003125,34.382369755763925,1008.7400116993539,37.616580821140964,249155.0
1741393036.8160424,1.0,2.0,2.0,1.0,2.0,2.0,312.0,80.0,27.0,2.0,0.0,0.0,20.4891796875,34.392941400343126,1008.7406742050182,37.611045050708,248084.0
1741393037.8283796,1.0,2.0,2.0,1.0,2.0,2.0,330.0,86.0,29.0,3.0,0.0,0.0,20.4753125,34.409059080346985,1008.7333612907908,37.6721505243719,249155.0
1741393038.8414173,1.0,2.0,2.0,1.0,2.0,2.0,330.0,86.0,29.0,3.0,0.0,0.0,20.4723828125,34.43777365299456,1008.7269038098359,37.72610844058763,250777.0
1741393039.8557415,1.0,2.0,2.0,1.0,2.0,2.0,330.0,86.0,29.0,3.0,0.0,0.0,20.4721875,34.455148186357434,1008.7247689651248,37.74394700180219,248084.0
